[runlim] version:		1.10
[runlim] sample:		30.4 time, 400.0 real, 140.5 MB
[runlim] sample:		40.3 time, 410.0 real, 142.3 MB
[runlim] sample:		50.1 time, 420.0 real, 149.8 MB
[runlim] sample:		60.0 time, 430.0 real, 150.0 MB
[runlim] sample:		10.5 time, 440.0 real, 53.6 MB
[runlim] sample:		20.4 time, 450.0 real, 53.7 MB
[runlim] sample:		30.3 time, 460.0 real, 53.7 MB
[runlim] sample:		37.0 time, 470.0 real, 107.7 MB
[runlim] sample:		46.9 time, 480.0 real, 115.8 MB
[runlim] sample:		56.8 time, 490.0 real, 125.6 MB
[runlim] sample:		66.8 time, 500.0 real, 131.7 MB
[runlim] sample:		76.8 time, 510.0 real, 131.8 MB
[runlim] sample:		86.7 time, 520.0 real, 136.1 MB
[runlim] sample:		36.9 time, 530.0 real, 127.7 MB
[runlim] sample:		46.8 time, 540.0 real, 155.0 MB
[runlim] sample:		56.7 time, 550.0 real, 166.6 MB
[runlim] sample:		66.7 time, 560.0 real, 168.3 MB
[runlim] sample:		76.5 time, 570.0 real, 170.9 MB
[runlim] sample:		86.3 time, 580.0 real, 171.6 MB
[runlim] sample:		36.9 time, 590.0 real, 114.5 MB
[runlim] sample:		46.8 time, 600.0 real, 131.8 MB
[runlim] sample:		56.6 time, 610.0 real, 148.9 MB
[runlim] sample:		66.6 time, 620.0 real, 151.6 MB
[runlim] sample:		76.6 time, 630.0 real, 163.1 MB
[runlim] sample:		86.5 time, 640.0 real, 171.9 MB
[runlim] sample:		36.9 time, 650.0 real, 122.0 MB
[runlim] sample:		46.9 time, 660.0 real, 139.1 MB
[runlim] sample:		56.7 time, 670.0 real, 150.1 MB
[runlim] sample:		66.7 time, 680.0 real, 172.5 MB
[runlim] sample:		76.6 time, 690.0 real, 161.5 MB
[runlim] sample:		86.4 time, 700.0 real, 173.2 MB
[runlim] sample:		36.9 time, 710.0 real, 126.3 MB
[runlim] sample:		46.8 time, 720.0 real, 161.3 MB
[runlim] sample:		56.8 time, 730.0 real, 166.6 MB
[runlim] sample:		66.7 time, 740.0 real, 168.5 MB
[runlim] sample:		76.7 time, 750.0 real, 159.1 MB
[runlim] sample:		86.7 time, 760.0 real, 186.8 MB
[runlim] sample:		36.8 time, 770.0 real, 127.4 MB
[runlim] sample:		46.7 time, 780.0 real, 160.2 MB
[runlim] sample:		56.7 time, 790.0 real, 178.9 MB
[runlim] sample:		66.6 time, 800.0 real, 171.1 MB
[runlim] sample:		76.5 time, 810.0 real, 175.1 MB
[runlim] sample:		86.3 time, 820.0 real, 196.2 MB
[runlim] sample:		36.8 time, 830.0 real, 53.8 MB
[runlim] sample:		46.8 time, 840.0 real, 53.8 MB
[runlim] sample:		55.7 time, 850.0 real, 123.7 MB
[runlim] sample:		65.6 time, 860.0 real, 126.8 MB
[runlim] sample:		75.6 time, 870.0 real, 137.4 MB
[runlim] sample:		85.4 time, 880.0 real, 139.4 MB
[runlim] sample:		95.3 time, 890.0 real, 134.3 MB
[runlim] sample:		105.2 time, 900.0 real, 155.5 MB
[runlim] sample:		55.6 time, 910.0 real, 137.0 MB
[runlim] sample:		65.5 time, 920.0 real, 152.7 MB
[runlim] sample:		75.5 time, 930.0 real, 157.0 MB
[runlim] sample:		85.3 time, 940.0 real, 158.0 MB
[runlim] sample:		95.2 time, 950.0 real, 169.2 MB
[runlim] sample:		105.2 time, 960.0 real, 169.7 MB
[runlim] sample:		55.6 time, 970.0 real, 127.0 MB
[runlim] sample:		65.5 time, 980.0 real, 137.0 MB
[runlim] sample:		75.3 time, 990.0 real, 151.3 MB
[runlim] sample:		85.2 time, 1000.0 real, 154.2 MB
[runlim] sample:		95.1 time, 1010.0 real, 154.9 MB
[runlim] sample:		105.0 time, 1020.0 real, 173.7 MB
[runlim] sample:		55.6 time, 1030.0 real, 142.1 MB
[runlim] sample:		65.5 time, 1040.0 real, 157.8 MB
[runlim] sample:		75.5 time, 1050.0 real, 162.7 MB
[runlim] sample:		85.5 time, 1060.0 real, 165.9 MB
[runlim] sample:		95.4 time, 1070.0 real, 167.4 MB
[runlim] sample:		105.3 time, 1080.0 real, 176.1 MB
[runlim] sample:		55.6 time, 1090.0 real, 120.3 MB
[runlim] sample:		65.5 time, 1100.0 real, 131.3 MB
[runlim] sample:		75.3 time, 1110.0 real, 136.3 MB
[runlim] sample:		85.2 time, 1120.0 real, 139.8 MB
[runlim] sample:		95.1 time, 1130.0 real, 124.2 MB
[runlim] sample:		105.0 time, 1140.0 real, 143.8 MB
[runlim] sample:		55.6 time, 1150.0 real, 136.6 MB
[runlim] sample:		65.5 time, 1160.0 real, 141.8 MB
[runlim] sample:		75.4 time, 1170.0 real, 152.0 MB
[runlim] sample:		85.3 time, 1180.0 real, 154.3 MB
[runlim] sample:		95.2 time, 1190.0 real, 155.0 MB
[runlim] sample:		105.1 time, 1200.0 real, 145.2 MB
[runlim] sample:		55.6 time, 1210.0 real, 154.2 MB
[runlim] sample:		64.9 time, 1220.0 real, 181.9 MB
[runlim] sample:		74.8 time, 1230.0 real, 173.4 MB
[runlim] sample:		84.6 time, 1240.0 real, 188.5 MB
[runlim] sample:		94.5 time, 1250.0 real, 204.8 MB
[runlim] sample:		104.4 time, 1260.0 real, 209.5 MB
[runlim] sample:		55.5 time, 1270.0 real, 147.4 MB
[runlim] sample:		65.4 time, 1280.0 real, 158.8 MB
[runlim] sample:		75.2 time, 1290.0 real, 161.1 MB
[runlim] sample:		85.0 time, 1300.0 real, 171.8 MB
[runlim] sample:		94.9 time, 1310.0 real, 174.6 MB
[runlim] sample:		104.8 time, 1320.0 real, 188.1 MB
[runlim] sample:		55.5 time, 1330.0 real, 140.6 MB
[runlim] sample:		65.5 time, 1340.0 real, 161.3 MB
[runlim] sample:		75.4 time, 1350.0 real, 163.8 MB
[runlim] sample:		85.4 time, 1360.0 real, 170.2 MB
[runlim] sample:		95.3 time, 1370.0 real, 175.9 MB
[runlim] sample:		105.2 time, 1380.0 real, 179.0 MB
[runlim] sample:		55.5 time, 1390.0 real, 145.6 MB
[runlim] sample:		65.4 time, 1400.0 real, 160.9 MB
[runlim] sample:		75.3 time, 1410.0 real, 183.1 MB
[runlim] sample:		85.1 time, 1420.0 real, 179.5 MB
[runlim] sample:		95.0 time, 1430.0 real, 183.4 MB
[runlim] sample:		104.8 time, 1440.0 real, 185.9 MB
[runlim] sample:		55.4 time, 1450.0 real, 134.9 MB
[runlim] sample:		65.1 time, 1460.0 real, 145.1 MB
[runlim] sample:		74.9 time, 1470.0 real, 147.9 MB
[runlim] sample:		84.7 time, 1480.0 real, 152.3 MB
[runlim] sample:		94.5 time, 1490.0 real, 162.7 MB
[runlim] sample:		104.4 time, 1500.0 real, 165.7 MB
[runlim] sample:		55.4 time, 1510.0 real, 157.8 MB
[runlim] sample:		65.3 time, 1520.0 real, 180.4 MB
[runlim] sample:		75.2 time, 1530.0 real, 198.8 MB
[runlim] sample:		84.9 time, 1540.0 real, 202.5 MB
[runlim] sample:		94.7 time, 1550.0 real, 205.2 MB
[runlim] sample:		104.6 time, 1560.0 real, 206.1 MB
[runlim] sample:		55.5 time, 1570.0 real, 130.3 MB
[runlim] sample:		65.1 time, 1580.0 real, 134.9 MB
[runlim] sample:		75.0 time, 1590.0 real, 145.8 MB
[runlim] sample:		84.8 time, 1600.0 real, 153.5 MB
[runlim] sample:		94.7 time, 1610.0 real, 154.3 MB
[runlim] sample:		104.5 time, 1620.0 real, 154.5 MB
[runlim] sample:		55.4 time, 1630.0 real, 153.2 MB
[runlim] sample:		65.3 time, 1640.0 real, 171.1 MB
[runlim] sample:		75.3 time, 1650.0 real, 188.4 MB
[runlim] sample:		85.3 time, 1660.0 real, 192.5 MB
[runlim] sample:		95.2 time, 1670.0 real, 195.6 MB
[runlim] sample:		105.1 time, 1680.0 real, 197.7 MB
[runlim] sample:		55.4 time, 1690.0 real, 146.8 MB
[runlim] sample:		65.2 time, 1700.0 real, 166.4 MB
[runlim] sample:		75.1 time, 1710.0 real, 185.8 MB
[runlim] sample:		85.0 time, 1720.0 real, 181.0 MB
[runlim] sample:		94.9 time, 1730.0 real, 185.5 MB
[runlim] sample:		104.5 time, 1740.0 real, 190.5 MB
[runlim] sample:		55.4 time, 1750.0 real, 53.9 MB
[runlim] sample:		65.3 time, 1760.0 real, 53.9 MB
[runlim] sample:		75.2 time, 1770.0 real, 53.9 MB
[runlim] sample:		85.2 time, 1780.0 real, 54.1 MB
[runlim] sample:		95.1 time, 1790.0 real, 112.8 MB
[runlim] sample:		104.9 time, 1800.0 real, 120.7 MB
[runlim] sample:		114.8 time, 1810.0 real, 118.8 MB
[runlim] sample:		124.6 time, 1820.0 real, 128.1 MB
[runlim] sample:		90.6 time, 1830.0 real, 127.9 MB
[runlim] sample:		100.5 time, 1840.0 real, 160.9 MB
[runlim] sample:		110.4 time, 1850.0 real, 165.0 MB
[runlim] sample:		120.4 time, 1860.0 real, 167.5 MB
[runlim] sample:		130.3 time, 1870.0 real, 180.0 MB
[runlim] sample:		140.1 time, 1880.0 real, 180.9 MB
[runlim] sample:		90.6 time, 1890.0 real, 121.2 MB
[runlim] sample:		100.4 time, 1900.0 real, 141.4 MB
[runlim] sample:		110.2 time, 1910.0 real, 175.2 MB
[runlim] sample:		120.1 time, 1920.0 real, 167.5 MB
[runlim] sample:		129.8 time, 1930.0 real, 172.7 MB
[runlim] sample:		139.8 time, 1940.0 real, 176.3 MB
[runlim] sample:		90.6 time, 1950.0 real, 122.2 MB
[runlim] sample:		100.6 time, 1960.0 real, 153.4 MB
[runlim] sample:		110.4 time, 1970.0 real, 163.8 MB
[runlim] sample:		120.3 time, 1980.0 real, 182.7 MB
[runlim] sample:		130.3 time, 1990.0 real, 178.3 MB
[runlim] sample:		140.1 time, 2000.0 real, 180.2 MB
[runlim] sample:		90.6 time, 2010.0 real, 54.2 MB
[runlim] sample:		99.0 time, 2020.0 real, 115.7 MB
[runlim] sample:		108.8 time, 2030.0 real, 149.2 MB
[runlim] sample:		118.7 time, 2040.0 real, 153.4 MB
[runlim] sample:		128.5 time, 2050.0 real, 173.0 MB
[runlim] sample:		138.4 time, 2060.0 real, 139.6 MB
[runlim] sample:		148.3 time, 2070.0 real, 164.3 MB
[runlim] sample:		99.0 time, 2080.0 real, 123.8 MB
[runlim] sample:		108.8 time, 2090.0 real, 139.4 MB
[runlim] sample:		118.6 time, 2100.0 real, 144.5 MB
[runlim] sample:		128.4 time, 2110.0 real, 149.3 MB
[runlim] sample:		138.3 time, 2120.0 real, 151.7 MB
[runlim] sample:		148.1 time, 2130.0 real, 153.4 MB
[runlim] sample:		99.0 time, 2140.0 real, 114.7 MB
[runlim] sample:		108.8 time, 2150.0 real, 128.4 MB
[runlim] sample:		118.7 time, 2160.0 real, 139.8 MB
[runlim] sample:		128.5 time, 2170.0 real, 142.2 MB
[runlim] sample:		138.4 time, 2180.0 real, 143.4 MB
[runlim] sample:		148.2 time, 2190.0 real, 145.7 MB
[runlim] sample:		98.9 time, 2200.0 real, 124.4 MB
[runlim] sample:		108.7 time, 2210.0 real, 133.3 MB
[runlim] sample:		118.6 time, 2220.0 real, 139.8 MB
[runlim] sample:		128.6 time, 2230.0 real, 140.8 MB
[runlim] sample:		138.5 time, 2240.0 real, 141.7 MB
[runlim] sample:		148.3 time, 2250.0 real, 143.8 MB
[runlim] sample:		99.0 time, 2260.0 real, 125.1 MB
[runlim] sample:		108.8 time, 2270.0 real, 145.2 MB
[runlim] sample:		118.8 time, 2280.0 real, 149.4 MB
[runlim] sample:		128.7 time, 2290.0 real, 150.6 MB
[runlim] sample:		138.5 time, 2300.0 real, 154.6 MB
[runlim] sample:		148.5 time, 2310.0 real, 155.9 MB
[runlim] sample:		99.0 time, 2320.0 real, 127.3 MB
[runlim] sample:		108.9 time, 2330.0 real, 139.9 MB
[runlim] sample:		118.8 time, 2340.0 real, 145.9 MB
[runlim] sample:		128.7 time, 2350.0 real, 149.4 MB
[runlim] sample:		138.6 time, 2360.0 real, 151.1 MB
[runlim] sample:		148.4 time, 2370.0 real, 164.2 MB
[runlim] sample:		99.0 time, 2380.0 real, 124.9 MB
[runlim] sample:		108.9 time, 2390.0 real, 145.9 MB
[runlim] sample:		118.9 time, 2400.0 real, 159.6 MB
[runlim] sample:		128.8 time, 2410.0 real, 155.4 MB
[runlim] sample:		138.7 time, 2420.0 real, 156.9 MB
[runlim] sample:		148.5 time, 2430.0 real, 158.6 MB
[runlim] sample:		98.9 time, 2440.0 real, 116.1 MB
[runlim] sample:		108.8 time, 2450.0 real, 126.6 MB
[runlim] sample:		118.7 time, 2460.0 real, 131.6 MB
[runlim] sample:		128.5 time, 2470.0 real, 140.1 MB
[runlim] sample:		138.4 time, 2480.0 real, 141.7 MB
[runlim] sample:		148.3 time, 2490.0 real, 149.4 MB
[runlim] sample:		98.9 time, 2500.0 real, 131.4 MB
[runlim] sample:		108.5 time, 2510.0 real, 166.0 MB
[runlim] sample:		118.4 time, 2520.0 real, 168.5 MB
[runlim] sample:		128.3 time, 2530.0 real, 170.3 MB
[runlim] sample:		138.2 time, 2540.0 real, 170.8 MB
[runlim] sample:		148.1 time, 2550.0 real, 172.8 MB
[runlim] sample:		98.9 time, 2560.0 real, 125.1 MB
[runlim] sample:		108.9 time, 2570.0 real, 160.3 MB
[runlim] sample:		118.7 time, 2580.0 real, 166.6 MB
[runlim] sample:		128.6 time, 2590.0 real, 173.0 MB
[runlim] sample:		138.5 time, 2600.0 real, 174.8 MB
[runlim] sample:		148.4 time, 2610.0 real, 196.6 MB
[runlim] sample:		98.9 time, 2620.0 real, 118.5 MB
[runlim] sample:		108.8 time, 2630.0 real, 131.1 MB
[runlim] sample:		118.7 time, 2640.0 real, 135.2 MB
[runlim] sample:		128.6 time, 2650.0 real, 143.4 MB
[runlim] sample:		138.6 time, 2660.0 real, 145.2 MB
[runlim] sample:		148.6 time, 2670.0 real, 145.8 MB
[runlim] sample:		98.9 time, 2680.0 real, 130.4 MB
[runlim] sample:		108.7 time, 2690.0 real, 167.3 MB
[runlim] sample:		118.6 time, 2700.0 real, 171.5 MB
[runlim] sample:		128.5 time, 2710.0 real, 179.0 MB
[runlim] sample:		138.3 time, 2720.0 real, 180.0 MB
[runlim] sample:		148.2 time, 2730.0 real, 187.2 MB
[runlim] sample:		98.9 time, 2740.0 real, 54.2 MB
[runlim] sample:		108.7 time, 2750.0 real, 54.2 MB
[runlim] sample:		118.7 time, 2760.0 real, 54.2 MB
[runlim] sample:		121.8 time, 2770.0 real, 99.2 MB
[runlim] sample:		130.1 time, 2780.0 real, 128.9 MB
[runlim] sample:		140.0 time, 2790.0 real, 129.7 MB
[runlim] sample:		149.9 time, 2800.0 real, 138.5 MB
[runlim] sample:		159.7 time, 2810.0 real, 142.2 MB
[runlim] sample:		169.4 time, 2820.0 real, 144.1 MB
[runlim] sample:		179.3 time, 2830.0 real, 145.0 MB
[runlim] sample:		130.2 time, 2840.0 real, 133.6 MB
[runlim] sample:		140.0 time, 2850.0 real, 139.1 MB
[runlim] sample:		149.8 time, 2860.0 real, 149.2 MB
[runlim] sample:		159.8 time, 2870.0 real, 156.6 MB
[runlim] sample:		169.7 time, 2880.0 real, 158.1 MB
[runlim] sample:		179.7 time, 2890.0 real, 158.7 MB
[runlim] sample:		130.2 time, 2900.0 real, 172.4 MB
[runlim] sample:		140.1 time, 2910.0 real, 176.1 MB
[runlim] sample:		150.1 time, 2920.0 real, 185.1 MB
[runlim] sample:		160.0 time, 2930.0 real, 186.3 MB
[runlim] sample:		170.0 time, 2940.0 real, 190.3 MB
[runlim] sample:		179.9 time, 2950.0 real, 192.8 MB
[runlim] sample:		130.1 time, 2960.0 real, 127.7 MB
[runlim] sample:		140.1 time, 2970.0 real, 141.5 MB
[runlim] sample:		150.0 time, 2980.0 real, 144.2 MB
[runlim] sample:		159.7 time, 2990.0 real, 163.2 MB
[runlim] sample:		169.7 time, 3000.0 real, 167.1 MB
[runlim] sample:		179.6 time, 3010.0 real, 170.7 MB
[runlim] sample:		130.2 time, 3020.0 real, 124.5 MB
[runlim] sample:		140.2 time, 3030.0 real, 121.7 MB
[runlim] sample:		150.1 time, 3040.0 real, 140.1 MB
[runlim] sample:		159.8 time, 3050.0 real, 147.2 MB
[runlim] sample:		123.7 time, 3060.0 real, 134.0 MB
[runlim] sample:		133.6 time, 3070.0 real, 148.5 MB
[runlim] sample:		143.6 time, 3080.0 real, 152.4 MB
[runlim] sample:		153.4 time, 3090.0 real, 153.1 MB
[runlim] sample:		163.1 time, 3100.0 real, 153.8 MB
[runlim] sample:		173.0 time, 3110.0 real, 160.8 MB
[runlim] sample:		123.6 time, 3120.0 real, 125.0 MB
[runlim] sample:		133.4 time, 3130.0 real, 132.4 MB
[runlim] sample:		143.2 time, 3140.0 real, 141.9 MB
[runlim] sample:		153.2 time, 3150.0 real, 140.9 MB
[runlim] sample:		163.1 time, 3160.0 real, 149.0 MB
[runlim] sample:		172.8 time, 3170.0 real, 156.4 MB
[runlim] sample:		123.6 time, 3180.0 real, 125.2 MB
[runlim] sample:		133.5 time, 3190.0 real, 138.9 MB
[runlim] sample:		143.4 time, 3200.0 real, 140.7 MB
[runlim] sample:		153.4 time, 3210.0 real, 151.8 MB
[runlim] sample:		163.2 time, 3220.0 real, 146.5 MB
[runlim] sample:		173.0 time, 3230.0 real, 151.2 MB
[runlim] sample:		123.6 time, 3240.0 real, 115.1 MB
[runlim] sample:		133.4 time, 3250.0 real, 126.9 MB
[runlim] sample:		143.3 time, 3260.0 real, 132.9 MB
[runlim] sample:		153.3 time, 3270.0 real, 133.5 MB
[runlim] sample:		163.1 time, 3280.0 real, 136.5 MB
[runlim] sample:		173.0 time, 3290.0 real, 144.1 MB
[runlim] sample:		123.6 time, 3300.0 real, 119.8 MB
[runlim] sample:		133.4 time, 3310.0 real, 136.9 MB
[runlim] sample:		143.2 time, 3320.0 real, 136.1 MB
[runlim] sample:		153.1 time, 3330.0 real, 138.4 MB
[runlim] sample:		163.0 time, 3340.0 real, 147.1 MB
[runlim] sample:		172.8 time, 3350.0 real, 155.3 MB
[runlim] sample:		123.6 time, 3360.0 real, 113.9 MB
[runlim] sample:		133.5 time, 3370.0 real, 127.0 MB
[runlim] sample:		143.5 time, 3380.0 real, 135.1 MB
[runlim] sample:		153.3 time, 3390.0 real, 138.6 MB
[runlim] sample:		163.2 time, 3400.0 real, 141.8 MB
[runlim] sample:		173.1 time, 3410.0 real, 143.4 MB
[runlim] sample:		123.6 time, 3420.0 real, 139.9 MB
[runlim] sample:		133.3 time, 3430.0 real, 171.2 MB
[runlim] sample:		143.2 time, 3440.0 real, 173.2 MB
[runlim] sample:		153.1 time, 3450.0 real, 174.3 MB
[runlim] sample:		163.1 time, 3460.0 real, 176.7 MB
[runlim] sample:		172.9 time, 3470.0 real, 177.7 MB
[runlim] sample:		123.6 time, 3480.0 real, 120.7 MB
[runlim] sample:		133.5 time, 3490.0 real, 139.5 MB
[runlim] sample:		143.4 time, 3500.0 real, 146.0 MB
[runlim] sample:		153.2 time, 3510.0 real, 149.6 MB
[runlim] sample:		163.2 time, 3520.0 real, 150.5 MB
[runlim] sample:		173.0 time, 3530.0 real, 162.8 MB
[runlim] sample:		123.6 time, 3540.0 real, 112.2 MB
[runlim] sample:		133.4 time, 3550.0 real, 119.8 MB
[runlim] sample:		143.3 time, 3560.0 real, 127.0 MB
[runlim] sample:		153.1 time, 3570.0 real, 129.6 MB
[runlim] sample:		163.0 time, 3580.0 real, 124.0 MB
[runlim] sample:		172.9 time, 3590.0 real, 139.8 MB
[runlim] sample:		123.5 time, 3600.0 real, 111.4 MB
[runlim] sample:		133.4 time, 3610.0 real, 121.0 MB
[runlim] sample:		143.3 time, 3620.0 real, 121.7 MB
[runlim] sample:		153.2 time, 3630.0 real, 127.8 MB
[runlim] sample:		163.1 time, 3640.0 real, 122.5 MB
[runlim] sample:		172.8 time, 3650.0 real, 140.0 MB
[runlim] sample:		126.7 time, 3660.0 real, 138.0 MB
[runlim] sample:		136.5 time, 3670.0 real, 150.5 MB
[runlim] sample:		146.4 time, 3680.0 real, 161.6 MB
[runlim] sample:		156.3 time, 3690.0 real, 156.6 MB
[runlim] sample:		166.1 time, 3700.0 real, 161.0 MB
[runlim] sample:		176.0 time, 3710.0 real, 161.7 MB
[runlim] sample:		125.0 time, 3720.0 real, 127.4 MB
[runlim] sample:		134.7 time, 3730.0 real, 134.1 MB
[runlim] sample:		144.6 time, 3740.0 real, 139.7 MB
[runlim] sample:		154.6 time, 3750.0 real, 148.3 MB
[runlim] sample:		164.4 time, 3760.0 real, 150.1 MB
[runlim] sample:		174.3 time, 3770.0 real, 157.3 MB
[runlim] sample:		124.9 time, 3780.0 real, 136.4 MB
[runlim] sample:		134.8 time, 3790.0 real, 171.8 MB
[runlim] sample:		144.8 time, 3800.0 real, 162.0 MB
[runlim] sample:		154.7 time, 3810.0 real, 164.7 MB
[runlim] sample:		164.5 time, 3820.0 real, 185.0 MB
[runlim] sample:		174.3 time, 3830.0 real, 167.4 MB
[runlim] sample:		124.9 time, 3840.0 real, 108.8 MB
[runlim] sample:		128.5 time, 3850.0 real, 150.8 MB
[runlim] sample:		138.4 time, 3860.0 real, 164.1 MB
[runlim] sample:		148.4 time, 3870.0 real, 175.5 MB
[runlim] sample:		158.3 time, 3880.0 real, 178.4 MB
[runlim] sample:		168.1 time, 3890.0 real, 191.6 MB
[runlim] sample:		178.0 time, 3900.0 real, 192.4 MB
[runlim] sample:		128.4 time, 3910.0 real, 139.4 MB
[runlim] sample:		138.3 time, 3920.0 real, 140.2 MB
[runlim] sample:		148.3 time, 3930.0 real, 156.9 MB
[runlim] sample:		124.8 time, 3940.0 real, 54.4 MB
[runlim] sample:		134.6 time, 3950.0 real, 54.4 MB
[runlim] sample:		140.7 time, 3960.0 real, 117.3 MB
[runlim] sample:		143.5 time, 3970.0 real, 127.1 MB
[runlim] sample:		153.4 time, 3980.0 real, 134.0 MB
[runlim] sample:		163.3 time, 3990.0 real, 146.5 MB
[runlim] sample:		173.2 time, 4000.0 real, 147.9 MB
[runlim] sample:		183.0 time, 4010.0 real, 149.0 MB
[runlim] sample:		192.9 time, 4020.0 real, 150.3 MB
[runlim] sample:		143.5 time, 4030.0 real, 146.6 MB
[runlim] sample:		153.0 time, 4040.0 real, 180.0 MB
[runlim] sample:		163.0 time, 4050.0 real, 188.6 MB
[runlim] sample:		172.8 time, 4060.0 real, 195.0 MB
[runlim] sample:		182.6 time, 4070.0 real, 198.2 MB
[runlim] sample:		192.5 time, 4080.0 real, 210.7 MB
[runlim] sample:		143.3 time, 4090.0 real, 143.1 MB
[runlim] sample:		153.2 time, 4100.0 real, 166.4 MB
[runlim] sample:		163.1 time, 4110.0 real, 172.7 MB
[runlim] sample:		173.1 time, 4120.0 real, 175.9 MB
[runlim] sample:		183.0 time, 4130.0 real, 185.3 MB
[runlim] sample:		192.7 time, 4140.0 real, 189.3 MB
[runlim] sample:		143.5 time, 4150.0 real, 119.7 MB
[runlim] sample:		153.4 time, 4160.0 real, 129.2 MB
[runlim] sample:		163.3 time, 4170.0 real, 120.4 MB
[runlim] sample:		173.1 time, 4180.0 real, 138.9 MB
[runlim] sample:		183.0 time, 4190.0 real, 142.0 MB
[runlim] sample:		193.0 time, 4200.0 real, 144.1 MB
[runlim] sample:		143.5 time, 4210.0 real, 130.1 MB
[runlim] sample:		153.4 time, 4220.0 real, 143.9 MB
[runlim] sample:		163.3 time, 4230.0 real, 150.3 MB
[runlim] sample:		173.2 time, 4240.0 real, 153.5 MB
[runlim] sample:		183.1 time, 4250.0 real, 161.7 MB
[runlim] sample:		193.0 time, 4260.0 real, 166.9 MB
[runlim] sample:		143.5 time, 4270.0 real, 134.9 MB
[runlim] sample:		153.4 time, 4280.0 real, 155.3 MB
[runlim] sample:		163.3 time, 4290.0 real, 160.6 MB
[runlim] sample:		173.1 time, 4300.0 real, 161.6 MB
[runlim] sample:		183.0 time, 4310.0 real, 162.2 MB
[runlim] sample:		193.0 time, 4320.0 real, 164.2 MB
[runlim] sample:		143.4 time, 4330.0 real, 144.6 MB
[runlim] sample:		153.3 time, 4340.0 real, 166.2 MB
[runlim] sample:		163.0 time, 4350.0 real, 171.8 MB
[runlim] sample:		172.8 time, 4360.0 real, 197.0 MB
[runlim] sample:		182.7 time, 4370.0 real, 175.8 MB
[runlim] sample:		192.7 time, 4380.0 real, 199.9 MB
[runlim] sample:		143.4 time, 4390.0 real, 133.7 MB
[runlim] sample:		153.4 time, 4400.0 real, 146.4 MB
[runlim] sample:		163.2 time, 4410.0 real, 160.0 MB
[runlim] sample:		172.9 time, 4420.0 real, 167.1 MB
[runlim] sample:		182.8 time, 4430.0 real, 168.5 MB
[runlim] sample:		192.7 time, 4440.0 real, 169.1 MB
[runlim] sample:		143.3 time, 4450.0 real, 161.3 MB
[runlim] sample:		153.3 time, 4460.0 real, 180.7 MB
[runlim] sample:		163.0 time, 4470.0 real, 194.6 MB
[runlim] sample:		172.9 time, 4480.0 real, 196.5 MB
[runlim] sample:		182.8 time, 4490.0 real, 216.6 MB
